날짜,번호1,번호2,번호3,번호4,번호5,번호6,보너스
2020.09.12,3,4,10,20,28,44,30
2020.09.05,4,15,22,38,41,43,26
2020.08.29,10,16,18,20,25,31,6
2020.08.22,13,24,32,34,39,42,4
2020.08.15,3,11,34,42,43,44,13
2020.08.08,3,17,18,23,36,41,26
2020.08.01,2,6,13,17,27,43,36
2020.07.25,5,7,12,22,28,41,1
2020.07.18,2,3,26,33,34,43,29
2020.07.11,9,14,17,18,42,44,35
2020.07.04,7,11,12,31,33,38,5
2020.06.27,1,3,23,24,27,43,34
2020.06.20,6,21,22,32,35,36,17
2020.06.13,2,6,11,13,22,37,14
2020.06.06,16,19,24,33,42,44,27
2020.05.30,6,14,16,21,27,37,40
2020.05.23,5,8,18,21,22,38,10
2020.05.16,4,5,12,14,32,42,35
2020.05.09,1,11,17,27,35,39,31
2020.05.02,7,24,29,30,34,35,33
2020.04.25,3,16,21,22,23,44,30
2020.04.18,21,27,29,38,40,44,37
2020.04.11,2,5,14,28,31,32,20
2020.04.04,3,4,16,27,38,40,20
2020.03.28,2,6,8,26,43,45,11
2020.03.21,2,15,16,21,22,28,45
2020.03.14,7,19,23,24,36,39,30
2020.03.07,5,18,20,23,30,34,21
2020.02.29,7,13,16,18,35,38,14
2020.02.22,8,19,20,21,33,39,37
2020.02.15,18,21,28,35,37,42,17
2020.02.08,6,7,12,22,26,36,29
2020.02.01,5,12,25,26,38,45,23
2020.01.25,16,26,31,38,39,41,23
2020.01.18,19,32,37,40,41,43,45
2020.01.11,1,15,17,23,25,41,10
2020.01.04,4,9,17,18,26,42,36
2019.12.28,9,13,28,31,39,41,19
2019.12.21,1,4,14,18,29,37,6
2019.12.14,3,13,29,38,39,42,26
2019.12.07,3,7,12,31,34,38,32
2019.11.30,8,14,17,27,36,45,10
2019.11.23,19,23,28,37,42,45,2
2019.11.16,1,3,24,27,39,45,31
2019.11.09,4,14,23,28,37,45,17
2019.11.02,9,18,32,33,37,44,22
2019.10.26,18,34,39,43,44,45,23
2019.10.19,4,18,20,26,27,32,9
2019.10.12,7,17,19,23,24,45,38
2019.10.05,1,4,10,14,15,35,20
2019.09.28,2,6,11,16,25,31,3
2019.09.21,5,17,18,22,23,43,12
2019.09.14,5,16,21,26,34,42,24
2019.09.07,19,22,30,34,39,44,36
2019.08.31,1,15,19,23,28,42,32
2019.08.24,3,5,12,13,33,39,38
2019.08.17,2,4,30,32,33,43,29
2019.08.10,2,6,12,26,30,34,38
2019.08.03,21,25,30,32,40,42,31
2019.07.27,2,6,20,27,37,39,4
2019.07.20,12,17,28,41,43,44,25
2019.07.13,14,17,19,22,24,40,41
2019.07.06,9,15,29,34,37,39,12
2019.06.29,3,15,22,32,33,45,2
2019.06.22,3,7,10,13,25,36,32
2019.06.15,16,21,28,35,39,43,12
2019.06.08,10,34,38,40,42,43,32
2019.06.01,11,17,19,21,22,25,24
2019.05.25,4,8,18,25,27,32,42
2019.05.18,8,22,35,38,39,41,24
2019.05.11,9,13,32,38,39,43,23
2019.05.04,6,10,16,28,34,38,43
2019.04.27,10,24,40,41,43,44,17
2019.04.20,8,15,17,19,43,44,7
2019.04.13,20,25,31,32,36,43,3
2019.04.06,2,8,23,26,27,44,13
2019.03.30,11,17,28,30,33,35,9
2019.03.23,14,18,22,26,31,44,40
2019.03.16,16,20,24,28,36,39,5
2019.03.09,5,13,17,29,34,39,3
2019.03.02,1,2,16,22,38,39,34
2019.02.23,12,16,26,28,30,42,22
2019.02.16,5,18,30,41,43,45,13
2019.02.09,1,16,29,33,40,45,6
2019.02.02,7,8,13,15,33,45,18
2019.01.26,19,21,30,33,34,42,4
2019.01.19,14,26,32,36,39,42,38
2019.01.12,5,11,14,30,33,38,24
2019.01.05,2,4,11,28,29,43,27
2018.12.29,3,9,11,12,13,19,35
2018.12.22,9,14,17,33,36,38,20
2018.12.15,2,25,28,30,33,45,6
2018.12.08,1,9,11,14,26,28,19
2018.12.01,9,10,13,28,38,45,35
2018.11.24,6,8,18,35,42,43,3
2018.11.17,12,18,30,39,41,42,19
2018.11.10,13,14,19,26,40,43,30
2018.11.03,3,10,16,19,31,39,9
2018.10.27,5,6,16,18,37,38,17
2018.10.20,4,5,31,35,43,45,29
2018.10.13,4,7,13,29,31,39,18
2018.10.06,5,11,12,29,33,44,14
2018.09.29,13,16,24,25,33,36,42
2018.09.22,8,15,21,31,33,38,42
2018.09.15,7,9,24,29,34,38,26
2018.09.08,12,18,24,26,39,40,15
2018.09.01,9,18,20,24,27,36,12
2018.08.25,1,12,13,24,29,44,16
2018.08.18,10,21,22,30,35,42,6
2018.08.11,16,25,33,38,40,45,15
2018.08.04,14,15,25,28,29,30,3
2018.07.28,3,9,12,13,25,43,34
2018.07.21,12,18,19,29,31,39,7
2018.07.14,17,21,25,26,27,36,4
2018.07.07,2,21,28,38,42,45,30
2018.06.30,11,30,34,35,42,44,27
2018.06.23,1,3,12,14,16,43,10
2018.06.16,8,11,19,21,36,45,25
2018.06.09,5,10,13,21,39,43,11
2018.06.02,6,11,15,17,23,40,39
2018.05.26,15,21,31,32,41,43,24
2018.05.19,6,10,18,25,34,35,33
2018.05.12,14,20,23,31,37,38,27
2018.05.05,3,12,13,18,31,32,42
2018.04.28,1,10,13,26,32,36,9
2018.04.21,5,9,14,26,30,43,2
2018.04.14,10,11,12,18,24,42,27
2018.04.07,17,25,28,37,43,44,2
2018.03.31,1,4,10,12,28,45,26
2018.03.24,12,17,23,34,42,45,33
2018.03.17,2,10,14,22,32,36,41
2018.03.10,5,22,31,32,39,45,36
2018.03.03,1,21,26,36,40,41,5
2018.02.24,3,10,13,26,34,38,36
2018.02.17,6,7,18,19,30,38,13
2018.02.10,10,15,21,35,38,43,31
2018.02.03,2,7,19,25,29,36,16
2018.01.27,2,10,12,31,33,42,32
2018.01.20,3,8,19,27,30,41,12
2018.01.13,2,6,7,12,19,45,38
2018.01.06,2,10,11,19,35,39,29
2017.12.30,5,6,13,16,27,28,9
2017.12.23,12,15,16,20,24,30,38
2017.12.16,4,6,15,25,26,33,40
2017.12.09,3,10,23,24,31,39,22
2017.12.02,14,15,16,17,38,45,36
2017.11.25,6,18,31,34,38,45,20
2017.11.18,11,16,18,19,24,39,43
2017.11.11,15,17,19,21,27,45,16
2017.11.04,6,12,19,24,34,41,4
2017.10.28,6,21,35,36,37,41,11
2017.10.21,6,12,17,21,34,37,18
2017.10.14,8,9,18,21,28,40,20
2017.10.07,11,12,29,33,38,42,17
2017.09.30,12,15,18,28,34,42,9
2017.09.23,8,12,19,21,31,35,44
2017.09.16,5,6,11,14,21,41,32
2017.09.09,6,10,17,18,21,29,30
2017.09.02,1,9,12,23,39,43,34
2017.08.26,5,7,11,16,41,45,4
2017.08.19,7,27,29,30,38,44,4
2017.08.12,5,15,20,31,34,42,22
2017.08.05,9,30,34,35,39,41,21
2017.07.29,1,3,8,12,42,43,33
2017.07.22,7,22,24,31,34,36,15
2017.07.15,3,8,16,32,34,43,10
2017.07.08,1,3,12,21,26,41,16
2017.07.01,4,7,11,24,42,45,30
2017.06.24,10,22,27,31,42,43,12
2017.06.17,9,33,36,40,42,43,32
2017.06.10,5,9,12,30,39,43,24
2017.06.03,6,7,11,17,33,44,1
2017.05.27,10,14,16,18,27,28,4
2017.05.20,13,14,26,28,30,36,37
2017.05.13,2,8,17,24,29,31,32
2017.05.06,2,17,19,24,37,41,3
2017.04.29,4,16,20,33,40,43,7
2017.04.22,3,4,16,20,28,44,17
2017.04.15,1,2,15,19,24,36,12
2017.04.08,12,14,24,26,34,45,41
2017.04.01,3,10,13,22,31,32,29
2017.03.25,7,9,12,14,23,28,17
2017.03.18,3,12,33,36,42,45,25
2017.03.11,1,2,3,9,12,23,10
2017.03.04,10,15,18,21,34,41,43
2017.02.25,15,19,21,34,41,44,10
2017.02.18,8,10,13,36,37,40,6
2017.02.11,5,21,27,34,44,45,16
2017.02.04,4,8,9,16,17,19,31
2017.01.28,7,22,29,33,34,35,30
2017.01.21,23,27,28,38,42,43,36
2017.01.14,13,15,18,24,27,41,11
2017.01.07,2,11,17,18,21,27,6
2016.12.31,5,10,13,27,37,41,4
2016.12.24,6,16,37,38,41,45,18
2016.12.17,11,24,32,33,35,40,13
2016.12.10,2,4,5,17,27,32,43
2016.12.03,2,7,13,25,42,45,39
2016.11.26,4,10,14,15,18,22,39
2016.11.19,11,17,21,26,36,45,16
2016.11.12,3,6,10,30,34,37,36
2016.11.05,7,8,10,19,21,31,20
2016.10.29,1,11,21,23,34,44,24
2016.10.22,6,7,19,21,41,43,38
2016.10.15,2,8,33,35,37,41,14
2016.10.08,20,30,33,35,36,44,22
2016.10.01,12,14,21,30,39,43,45
2016.09.24,1,28,35,41,43,44,31
2016.09.17,1,12,29,34,36,37,41
2016.09.10,4,8,13,19,20,43,26
2016.09.03,4,11,20,23,32,39,40
2016.08.27,2,11,19,25,28,32,44
2016.08.20,2,6,13,16,29,30,21
2016.08.13,2,7,27,33,41,44,10
2016.08.06,1,7,22,33,37,40,20
